"Dealer","Alamat","Area","Telepon","Fax"
"Wijaya Mandiri Sejahtera","Jl. Adi Sucipto Kel Mbaumuku Kec Langke Rembong Indonesia","","038522444",""
"CV Asfa","Jl. Eltari2, samping gereja menara kesaksian-walikota kupang-NTT","","082340164444",""
"Toko Risma","Jl. Ahmad Yani no.17 Soe-Timur Tengah Selatan","","082145558383, 081330387475","038821161"
"Berkat Usaha","Kanelu, Desa Kanelu, kecamatn Wewewa Timur, Kabupaten Sumba barat daya","","081316580353, 081353165803",""
"Aries Elektronik","Jl. PB. Sudirman 10, Kefamenanu- Nusa Tenggara Timur","","0388-31180","0388-31974"
"CV Kuda Mas","Jl Bhayangkara no 54 - Waikabubak - Sumba Barat - NTT","","82145922928",""
"CV Crisevel","Kel Lahaying , Kec Larantuka, Larantukan - NTT","","85303830152",""
"CV Cipta Prestasi","Jl. Kolombeke, Kelurahan Nangalimang, Kecamatan Alok, Kabupaten Sikka, ","","81233022888",""
"TAMPO MAS","Jl Sutan Syahrir 09 RT 04/02 Bugis Taliwang SUMBAWA BARAT ","","0372-81246 / 037281856",""
"MULTI VISUAL ","Jl Banda Sraya Pagutan MATARAM ","","081-75751888",""
"TRIGEKA ","Jl Jendral Sudirma no 201 MATARAM ","","0370-6823600",""