"Retailer","Alamat","Area","Telepon","Fax"
"HPM Palladium","Mall Grand Palladium, Jl. Kapt. Maulana Lubis, Medan","061","4512844<br>4516341<br>4513186","4516341"
"HPM Sun Plaza","Sun Plaza Jl. H. Zainul Arifin No. 7 Medan 20152","061","4501403<br>4501409","4501530<br>4501409"
"HPM Binjai","Binjai Supermall Jl. Soekarno Hatta No. 14, Binjai Sumatera Utara 20732","061","8827789<br>8827930<br>","8826759"
"HPM Pematang Siantar","HPM Siantar City Squard Jl. Rakkuta sembiring Blok A No 1 Pematang Siantar","","",""
"HPM Batam Centre","MEGA MALL Batam CENTRE Lower Ground Jl. Engku Putri Depan Terminal Ferry International Kel.Teluk Tering, Kec. Nongsa Batam","0778","470200<br>470163<br>470166<br>470400","470174"
"HPM Batam Nagoya","Nagoya Hill Batam Kompleks Nagoya Hill Superblock Level LG Jl. T. Umar / Jl. Imam Bonjol, Nagoya - Batam","0778","7493600<br>7493601","493602"
"HPM Bengkulu","Hypermart Bengkulu Indah Mall, Jl. Putri Gading Cempaka, Penurunan Kec Ratu Samban, Bengkulu","0736","27786<br>27878<br>864110<br>864135864","27878"
"HPM Jambi","Hypermart WTC Batanghari, Jl. Sultan Taha No. 17, Komplek WTC Batanghari , JAMBI 36111","0741","7837251<br>7837266<br>7152424","7837252"
"HPM Pekanbaru 2","Hypermart Pekanbaru 2 Mall Ciputra Seraya Jl. Riau No 58, Pekanbaru","","",""
"HPM Jambi","Hypermart Permata Bungo Plaza Jl. Muh. Yamin, Kel. Bungo Barat, Kec. Pasar, Kab. Muara Bungo, Jambi","","",""
"HPM Duri","Hypermart Duri Pekanbaru, Jl. Jend. Sudirman No.1, Komp. Duri Indah Raya, Duri","0765","597066",""
"HPM Bangka","Hypermart Bangka Trade Center Jl. Letkol Rusli Ramli, Kec. Rangkuti Pangkal Pinang, Bangka Trade Centre","","",""
"HPM Lampung","Sentra Plaza Lampung, Jl. Kartini No. 21 Tanjung Karang, Lampung","0721","253236<br>253367","253367<br>257715"
"HPM Palembang","Palembang Indah Mall Jl. Mayjen Dhani Effendi, Palembang","0711","7623020<br>7623030<br>7623008","7623010<br>7623040"
"HPM Palembang Square"," Palembang Square - Underground Jl. POM IX, Kel. Lorok Pakjo, Kec. Ilir Barat 1, Palembang","","",""
"HPM Palembang","Hypermart Jakabaring Sport City, Jl. Gubernur Hasa Bestari, Kel.Silaberanti Kec.Sebrang Ulu I, Palembang","","",""